,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000018695,2811,1954,4498,4113
ENSGACG00000018696,311,263,517,491
ENSGACG00000018700,1346,1772,2670,2281
ENSGACG00000018709,5,13,29,16
ENSGACG00000018710,20,18,9,9
ENSGACG00000018712,2,5,15,12
ENSGACG00000018714,306,212,455,667
ENSGACG00000018718,552,434,939,915
ENSGACG00000018723,1685,1469,2640,2754
ENSGACG00000018724,503,571,1152,1222
ENSGACG00000018726,237,255,438,508
ENSGACG00000018727,1186,1116,1976,1949
ENSGACG00000018728,729,806,1557,1657
ENSGACG00000018729,502,549,767,838
ENSGACG00000018730,1120,1174,2174,2316
ENSGACG00000018731,21,24,34,55
ENSGACG00000018733,1718,1419,2737,4357
ENSGACG00000018734,1477,1359,3348,2981
ENSGACG00000018736,177,167,362,424
ENSGACG00000018740,38,58,76,78
ENSGACG00000022553,0,0,0,0
ENSGACG00000018742,1341,1014,1841,1964
ENSGACG00000018745,10,10,9,29
ENSGACG00000018748,36,16,28,31
ENSGACG00000018752,1045,760,1579,1712
ENSGACG00000018755,298,229,510,471
ENSGACG00000018756,0,0,0,0
ENSGACG00000018757,6,0,6,6
ENSGACG00000018760,0,0,0,0
ENSGACG00000018762,0,2,10,2
ENSGACG00000018763,506,471,1013,871
ENSGACG00000018765,85,42,464,1203
ENSGACG00000018769,49,34,659,1908
ENSGACG00000018770,609,567,927,502
ENSGACG00000018774,1614,1069,1142,1514
ENSGACG00000018789,308,309,585,472
ENSGACG00000018791,3510,2070,4511,4594
ENSGACG00000022662,0,0,0,0
ENSGACG00000022666,2,2,1,0
ENSGACG00000022609,0,0,0,0
ENSGACG00000022612,5,0,0,0
ENSGACG00000018795,3050,2341,4021,4103
ENSGACG00000018799,703,723,1402,1441
ENSGACG00000018801,5,13,35,15
ENSGACG00000021402,0,0,0,0
ENSGACG00000018803,163,203,356,343
ENSGACG00000018804,21,22,66,29
ENSGACG00000018806,80,56,135,95
ENSGACG00000018807,7239,6302,11992,12261
ENSGACG00000018811,708,559,1129,1158
ENSGACG00000018812,4113,3181,5672,6502
ENSGACG00000018814,1121,1100,2182,2470
ENSGACG00000018815,1831,1442,3294,3041
ENSGACG00000018816,658,590,1143,1230
ENSGACG00000018817,5,0,0,0
ENSGACG00000018818,240,182,387,404
ENSGACG00000018820,22,20,26,20
ENSGACG00000018821,236,182,258,366
ENSGACG00000018824,7,1,33,61
ENSGACG00000018826,53,35,64,127
ENSGACG00000018827,3,2,16,31
ENSGACG00000018828,0,0,0,0
ENSGACG00000018829,692,767,1376,1284
ENSGACG00000018833,132,150,275,260
ENSGACG00000018836,465,358,253,464
ENSGACG00000018838,530,411,590,988
ENSGACG00000018841,1483,1055,3054,3222
ENSGACG00000018843,306,236,670,580
ENSGACG00000018844,3140,2126,4465,5949
ENSGACG00000018846,492,360,748,678
ENSGACG00000018847,4,6,8,5
ENSGACG00000018851,21,19,27,44
ENSGACG00000018852,1213,1348,2451,2486
ENSGACG00000018853,461,564,1059,957
ENSGACG00000018854,71,68,122,191
ENSGACG00000018856,202,186,375,345
ENSGACG00000018857,133,141,256,269
ENSGACG00000018860,1467,1190,2141,1854
ENSGACG00000018861,172,149,437,465
ENSGACG00000018862,315,234,327,327
ENSGACG00000018864,2,0,0,0
ENSGACG00000022647,48,21,43,74
ENSGACG00000018865,316,163,301,449
ENSGACG00000018875,14,5,7,17
ENSGACG00000018882,712,607,1018,1257
ENSGACG00000018884,0,0,0,0
ENSGACG00000018887,177,137,324,357
ENSGACG00000018888,368,445,696,696
ENSGACG00000018891,774,689,2419,1598
ENSGACG00000018894,2757,2282,4840,6106
ENSGACG00000018910,424,304,826,1304
ENSGACG00000018911,65,64,123,122
ENSGACG00000018917,56,45,4,4
ENSGACG00000018918,633,575,1018,1039
ENSGACG00000018919,2849,2563,4566,4158
ENSGACG00000018923,579,593,941,1180
ENSGACG00000018926,4,6,3,4
ENSGACG00000018927,0,6,3,1
ENSGACG00000018929,2864,1850,3267,3767
ENSGACG00000018930,621,568,1390,1518
ENSGACG00000018935,1174,673,1059,1273
ENSGACG00000018938,4,4,5,4
ENSGACG00000018942,343,242,563,642
ENSGACG00000018945,1612,1566,2860,2809
ENSGACG00000018950,419,522,992,917
ENSGACG00000018951,1161,1037,1384,1070
ENSGACG00000018953,419,382,857,812
ENSGACG00000018956,343,276,449,687
ENSGACG00000018957,344,319,582,551
ENSGACG00000018958,369,367,750,908
ENSGACG00000022207,2,7,10,4
ENSGACG00000021259,0,3,12,3
ENSGACG00000018959,10,9,16,26
ENSGACG00000018960,350,447,800,901
ENSGACG00000018964,17,26,25,40
ENSGACG00000018967,638,581,1012,1043
ENSGACG00000018969,52,14,74,64
ENSGACG00000018981,1496,1265,2650,2569
ENSGACG00000018983,4,0,6,7
ENSGACG00000018996,579,442,626,879
ENSGACG00000022283,0,0,0,0
ENSGACG00000018997,155,80,82,118
ENSGACG00000018998,78,39,63,58
ENSGACG00000019000,82,64,38,81
ENSGACG00000019001,297,384,573,649
ENSGACG00000019005,1524,894,1399,1844
ENSGACG00000019007,923,785,1036,1182
ENSGACG00000019008,1132,1077,1518,1745
ENSGACG00000019009,949,924,1335,1469
ENSGACG00000019011,48,30,74,28
ENSGACG00000019014,684,442,922,897
ENSGACG00000019016,179,60,67,123
ENSGACG00000019017,221,64,73,77
ENSGACG00000019018,654,556,972,1003
ENSGACG00000019020,120,136,99,137
ENSGACG00000019024,844,683,1424,1371
ENSGACG00000019025,451,311,213,387
ENSGACG00000019026,452,412,586,695
ENSGACG00000019027,100,88,298,130
ENSGACG00000019033,9,4,33,32
ENSGACG00000019034,272,287,341,545
ENSGACG00000019036,52,22,60,97
ENSGACG00000019037,8,11,4,8
ENSGACG00000019053,0,0,0,3
ENSGACG00000019056,8,2,3,10
ENSGACG00000019061,1,1,0,3
ENSGACG00000019063,32,36,82,59
ENSGACG00000019064,0,2,2,4
ENSGACG00000019066,34,5,181,216
ENSGACG00000019067,0,0,0,0
ENSGACG00000019068,1878,1451,3190,3202
ENSGACG00000019071,3485,2956,3218,4640
ENSGACG00000019075,574,409,728,847
ENSGACG00000019077,4,0,0,0
ENSGACG00000019079,0,0,2,0
ENSGACG00000019080,3,0,7,18
ENSGACG00000019082,5631,5434,10521,9782
ENSGACG00000019084,89,88,75,91
ENSGACG00000019086,778,846,1676,1649
ENSGACG00000019087,10,2,2,2
ENSGACG00000019092,2108,1258,2108,3253
ENSGACG00000019098,1747,1371,2813,2713
ENSGACG00000019104,46,24,64,82
ENSGACG00000019105,106,130,278,322
ENSGACG00000019107,2694,3002,4827,5302
ENSGACG00000019108,364,546,516,570
ENSGACG00000019110,2,0,0,2
ENSGACG00000019113,2565,1876,3482,4870
ENSGACG00000019114,1924,1576,4469,3500
ENSGACG00000019115,172,153,348,456
ENSGACG00000019116,8,0,5,6
ENSGACG00000019120,94,77,92,81
ENSGACG00000019121,3344,2780,5227,4789
ENSGACG00000019123,1146,791,1060,1484
ENSGACG00000019125,7149,7383,12112,11982
ENSGACG00000019128,4665,5010,8653,8142
ENSGACG00000019129,1850,1774,2606,3029
ENSGACG00000019132,9,10,1,15
ENSGACG00000019133,11,15,8,11
ENSGACG00000019134,135,194,156,330
ENSGACG00000019136,8055,8881,19427,18985
ENSGACG00000019139,2485,2386,7232,6279
ENSGACG00000019145,282,269,628,645
ENSGACG00000019147,1963,1968,3046,3124
ENSGACG00000019148,761,795,1415,1327
ENSGACG00000019150,563,538,907,1078
ENSGACG00000019153,2,1,11,20
ENSGACG00000019155,1381,1090,2218,2258
ENSGACG00000019156,2078,1576,2278,2542
ENSGACG00000019159,705,198,140,76
ENSGACG00000019160,50,39,19,19
ENSGACG00000019163,2109,2219,4511,4028
ENSGACG00000019169,4677,3107,6268,6925
ENSGACG00000019171,2963,4124,6540,6358
ENSGACG00000019173,3358,3259,4993,4918
ENSGACG00000019174,4520,4053,6649,7205
ENSGACG00000019176,647,879,1029,1256
ENSGACG00000019183,668,439,593,759
ENSGACG00000019184,64,42,179,108
ENSGACG00000019185,63,69,95,65
ENSGACG00000019186,1224,1124,1756,2558
ENSGACG00000019189,0,0,0,0
ENSGACG00000019192,528,690,1156,1116
ENSGACG00000019193,80,57,45,53
ENSGACG00000019202,1168,925,1692,1676
ENSGACG00000019204,10,6,2,26
ENSGACG00000019206,32,18,56,7
ENSGACG00000019208,217,138,203,210
ENSGACG00000019212,3632,3021,5517,4593
ENSGACG00000019214,2156,1408,2744,2350
ENSGACG00000019215,665,565,1021,1218
ENSGACG00000019216,446,381,856,833
ENSGACG00000019218,4,0,4,16
ENSGACG00000019219,132,127,216,273
ENSGACG00000019221,200,138,300,246
ENSGACG00000019223,458,437,879,798
ENSGACG00000019225,151,136,245,229
ENSGACG00000019226,44,43,69,81
ENSGACG00000019227,1300,1238,2530,2391
ENSGACG00000019230,70,52,114,96
ENSGACG00000019233,5,2,7,5
ENSGACG00000019236,1964,1795,3051,3463
ENSGACG00000019238,0,2,42,30
ENSGACG00000019239,51,12,12,63
ENSGACG00000019240,5017,5626,9010,9438
ENSGACG00000019242,2079,1891,3267,3021
ENSGACG00000019247,0,0,0,2
ENSGACG00000019248,3089,2581,4727,5314
ENSGACG00000019249,980,763,1225,1288
ENSGACG00000019253,162,127,417,187
ENSGACG00000019257,149,121,256,196
ENSGACG00000019259,635,534,877,1385
ENSGACG00000019262,7,6,13,22
ENSGACG00000019264,32,16,26,48
ENSGACG00000019267,935,749,2062,2266
ENSGACG00000019269,3909,4515,7694,6741
ENSGACG00000019270,2030,1411,2222,2535
ENSGACG00000019271,968,743,866,1066
ENSGACG00000019274,853,948,1817,2223
ENSGACG00000019282,212640,117415,131688,142057
ENSGACG00000019287,34983,31089,42831,42821
ENSGACG00000019291,990,818,1319,1284
ENSGACG00000019292,2,0,0,0
ENSGACG00000019293,4300,4550,10547,10891
ENSGACG00000019302,1,0,2,0
ENSGACG00000019307,0,3,3,0
ENSGACG00000019309,550,439,604,870
ENSGACG00000019311,118,153,506,286
ENSGACG00000019313,1258,1436,2250,3343
ENSGACG00000019320,162,228,145,626
ENSGACG00000019321,20,17,14,16
ENSGACG00000019323,88,79,101,107
ENSGACG00000019325,122,109,193,308
ENSGACG00000019330,4287,3632,7048,7532
ENSGACG00000019333,65,136,1349,849
ENSGACG00000019334,760,459,658,759
ENSGACG00000019336,398,336,601,792
ENSGACG00000019340,10,6,10,9
ENSGACG00000019341,5931,5804,10088,10891
ENSGACG00000019342,89,113,103,120
ENSGACG00000019343,214,383,362,419
ENSGACG00000019344,648,571,807,1113
ENSGACG00000021429,1,0,4,1
ENSGACG00000022316,6,3,6,16
ENSGACG00000019345,172,252,238,453
ENSGACG00000019346,169,155,198,319
ENSGACG00000019348,12135,11984,20966,22869
ENSGACG00000019363,321,300,604,386
ENSGACG00000019364,505,226,902,708
ENSGACG00000019367,1464,1219,1869,1985
ENSGACG00000019373,1652,1603,2990,2693
ENSGACG00000019383,6037,7448,14848,14085
ENSGACG00000019386,1019,1056,1833,1741
ENSGACG00000019389,0,0,2,2
ENSGACG00000019391,1,8,4,1
ENSGACG00000019399,2296,2316,3718,4595
ENSGACG00000019404,6546,5114,9486,11074
ENSGACG00000019413,3170,1821,3257,4088
ENSGACG00000019422,4188,2900,5662,5623
ENSGACG00000019437,967,640,1199,1638
ENSGACG00000019440,471,338,579,892
ENSGACG00000019441,100,47,20,89
ENSGACG00000019445,263,198,340,416
ENSGACG00000019447,1454,2517,5046,4289
ENSGACG00000019451,179,223,367,548
ENSGACG00000019453,0,0,0,5
ENSGACG00000019455,731,291,639,680
ENSGACG00000019457,21,29,21,47
ENSGACG00000019459,23984,11858,33436,30333
ENSGACG00000019461,515,458,729,1047
ENSGACG00000019463,458,344,610,870
ENSGACG00000019467,304,357,404,743
ENSGACG00000019468,243,215,446,696
ENSGACG00000019470,9,3,28,17
ENSGACG00000019472,160,171,138,200
ENSGACG00000019480,813,855,1541,1331
ENSGACG00000019481,2837,2009,3247,3585
ENSGACG00000019485,18,17,22,22
ENSGACG00000019490,6,3,3,19
ENSGACG00000019494,13,5,13,30
ENSGACG00000019495,2043,1945,3599,4221
ENSGACG00000019496,1854,1682,1899,1682
ENSGACG00000019497,7662,7870,9910,10803
ENSGACG00000019504,825,864,1051,1091
ENSGACG00000019505,1037,1112,1228,1498
ENSGACG00000019506,3,550,43,760
ENSGACG00000019508,10,10,294,41
ENSGACG00000019509,70,29,837,178
ENSGACG00000019512,1151,1501,6939,6103
ENSGACG00000019514,16,8,28,33
ENSGACG00000019515,158,230,419,379
ENSGACG00000019517,0,0,14,1
ENSGACG00000019518,4,0,17,9
ENSGACG00000019519,110,139,215,169
ENSGACG00000019520,494,538,913,921
ENSGACG00000019521,1548,1191,1752,1856
ENSGACG00000019522,1779,1768,2963,2912
ENSGACG00000022878,5,4,3,2
ENSGACG00000019524,33,20,54,48
ENSGACG00000019525,2451,2661,6072,5841
ENSGACG00000019527,1317,1207,2423,2230
ENSGACG00000019530,1367,1401,2504,2827
ENSGACG00000019532,583,462,597,604
ENSGACG00000019534,3288,3088,5786,5738
ENSGACG00000019538,143,94,138,191
ENSGACG00000019540,392,342,664,558
ENSGACG00000019542,6023,3783,6948,8509
ENSGACG00000019553,5,2,2,3
ENSGACG00000019554,70,51,114,140
ENSGACG00000019555,742,609,1208,806
ENSGACG00000019558,1525,1472,2697,2798
ENSGACG00000019560,5321,4470,9489,9663
ENSGACG00000019563,2301,1922,3569,3556
ENSGACG00000019568,3683,3386,6201,6516
ENSGACG00000019572,107,62,138,167
ENSGACG00000021313,14,4,3,9
ENSGACG00000021446,28,29,15,38
ENSGACG00000019578,9163,7970,14234,14769
ENSGACG00000019585,2,0,4,3
ENSGACG00000019586,225,191,317,420
ENSGACG00000019588,2036,1651,6065,3471
ENSGACG00000019592,70,72,86,77
ENSGACG00000019594,704,572,1456,974
ENSGACG00000019596,5909,4766,8955,10546
ENSGACG00000019599,6747,5147,10351,11324
ENSGACG00000019602,6513,4681,10720,9694
ENSGACG00000019604,4,4,24,11
ENSGACG00000019608,0,0,0,0
ENSGACG00000019609,2,0,2,0
ENSGACG00000019610,0,0,0,0
ENSGACG00000019611,145,112,256,284
ENSGACG00000019612,21,15,66,10
ENSGACG00000019614,0,0,0,0
ENSGACG00000019615,2776,1700,15235,9782
ENSGACG00000019617,7,13,17,33
ENSGACG00000019619,161,252,202,256
ENSGACG00000019621,2601,2496,3867,4454
ENSGACG00000019622,292,255,216,400
ENSGACG00000019623,1795,1379,2884,3263
ENSGACG00000019624,87,58,75,134
ENSGACG00000019625,5344,5689,9386,8855
ENSGACG00000019630,2,0,4,8
ENSGACG00000019633,191,195,269,217
ENSGACG00000019640,1394,1178,1805,2306
ENSGACG00000019643,641,795,1867,1463
ENSGACG00000019644,72,70,72,62
ENSGACG00000022279,0,0,0,0
ENSGACG00000021374,0,0,0,0
ENSGACG00000021214,0,0,0,0
ENSGACG00000021241,0,0,0,0
ENSGACG00000021217,0,0,0,0
ENSGACG00000021283,0,0,0,0
ENSGACG00000021373,0,0,0,0
ENSGACG00000021240,0,0,0,0
ENSGACG00000021216,0,0,0,0
ENSGACG00000022261,0,0,0,0
ENSGACG00000021372,0,0,0,0
ENSGACG00000021377,0,0,0,0
ENSGACG00000021239,0,0,0,0
ENSGACG00000021356,0,0,0,0
ENSGACG00000021238,0,0,0,0
ENSGACG00000022217,0,0,0,0
ENSGACG00000021378,0,0,0,0
ENSGACG00000021237,0,0,0,0
ENSGACG00000021371,0,0,0,0
ENSGACG00000022148,0,0,0,0
ENSGACG00000022199,0,0,0,0
ENSGACG00000021370,0,0,0,0
ENSGACG00000021236,0,0,0,0
ENSGACG00000022265,0,0,0,0
ENSGACG00000021376,0,0,0,0
ENSGACG00000021235,0,0,0,0
ENSGACG00000021355,0,0,0,0
ENSGACG00000021234,0,0,0,0
ENSGACG00000021213,0,0,0,0
ENSGACG00000021369,0,0,0,0
ENSGACG00000021233,0,0,0,0
ENSGACG00000021453,0,0,0,0
ENSGACG00000021232,0,0,0,0
ENSGACG00000021368,0,0,0,0
ENSGACG00000021231,0,0,0,0
ENSGACG00000022142,0,0,0,0
ENSGACG00000022185,0,0,0,0
ENSGACG00000021230,0,0,0,0
ENSGACG00000021215,0,0,0,0
ENSGACG00000022184,0,0,0,0
ENSGACG00000021229,0,0,0,0
ENSGACG00000022303,0,0,0,0
ENSGACG00000022225,0,0,0,0
ENSGACG00000021367,0,0,0,0
ENSGACG00000021366,0,0,0,0
ENSGACG00000021228,0,0,0,0
ENSGACG00000021365,0,0,0,0
ENSGACG00000021227,0,0,0,0
ENSGACG00000021364,0,0,0,0
ENSGACG00000021226,0,0,0,0
ENSGACG00000022295,0,0,0,0
ENSGACG00000021363,0,0,0,0
ENSGACG00000021225,0,0,0,0
ENSGACG00000021375,0,0,0,0
ENSGACG00000021224,0,0,0,0
ENSGACG00000021223,0,0,0,0
ENSGACG00000022155,0,0,0,0
ENSGACG00000021212,0,0,0,0
ENSGACG00000022216,0,0,0,0
ENSGACG00000022141,0,0,0,0
ENSGACG00000021362,0,0,0,0
ENSGACG00000022275,0,0,0,0
ENSGACG00000021361,0,0,0,0
ENSGACG00000021222,0,0,0,0
ENSGACG00000022149,0,0,0,0
ENSGACG00000021211,0,0,0,0
ENSGACG00000022254,0,0,0,0
ENSGACG00000021221,0,0,0,0
ENSGACG00000022242,0,0,0,0
ENSGACG00000021360,0,0,0,0
ENSGACG00000021220,0,0,0,0
ENSGACG00000021501,0,0,0,0
ENSGACG00000022205,0,0,0,0
ENSGACG00000021359,0,0,0,0
ENSGACG00000021242,0,0,0,0
ENSGACG00000022200,0,0,0,0
ENSGACG00000021358,0,0,0,0
ENSGACG00000021219,0,0,0,0
ENSGACG00000022290,0,0,0,0
ENSGACG00000021357,0,0,0,0
ENSGACG00000021218,0,0,0,0
ENSGACG00000021210,0,0,0,0
ENSGACG00000022292,0,0,0,0
ENSGACG00000021354,0,0,0,0
ENSGACG00000019647,988,931,1588,1304
ENSGACG00000019648,924,1028,1512,1671
ENSGACG00000019651,751,649,1098,1210
ENSGACG00000019652,37,24,37,48
ENSGACG00000019653,69,112,104,252
ENSGACG00000019654,839,779,1307,1149
ENSGACG00000019657,1846,1793,3697,3909
ENSGACG00000019659,231,147,298,347
ENSGACG00000019660,420,255,308,535
ENSGACG00000019662,676,833,912,794
ENSGACG00000019663,1274,1241,2503,2539
ENSGACG00000019666,541,465,791,999
ENSGACG00000019667,563,504,758,771
ENSGACG00000019673,28,19,98,152
ENSGACG00000019674,1533,1328,1776,1713
ENSGACG00000019679,485,397,1546,1492
ENSGACG00000019680,2092,2009,3982,3662
ENSGACG00000019683,2136,1405,2640,3205
ENSGACG00000019685,3099,2977,5338,4942
ENSGACG00000019690,20,15,36,26
ENSGACG00000019691,2,0,0,0
ENSGACG00000019692,281,284,381,509
ENSGACG00000019694,196,170,141,115
ENSGACG00000019696,193,200,428,374
ENSGACG00000019697,138,84,260,253
ENSGACG00000019698,1871,1893,3997,2763
ENSGACG00000019702,48,35,106,76
ENSGACG00000019703,0,0,8,3
ENSGACG00000019705,629,562,912,1003
ENSGACG00000019706,909,694,1420,1689
ENSGACG00000019709,610,486,1427,1056
ENSGACG00000021398,0,0,0,0
ENSGACG00000021292,0,0,0,0
ENSGACG00000021265,0,0,0,0
ENSGACG00000019712,1010,905,1561,1758
ENSGACG00000019718,165,159,252,308
ENSGACG00000019720,1932,1452,3076,2921
ENSGACG00000019721,1785,1607,2725,2422
ENSGACG00000019724,7,20,46,10
ENSGACG00000019725,173,124,250,178
ENSGACG00000019731,0,0,2,0
ENSGACG00000019732,7580,7093,13794,13300
ENSGACG00000019740,657,453,1302,1307
ENSGACG00000019741,528,443,683,922
ENSGACG00000019742,375,209,741,700
ENSGACG00000019744,0,3,3,19
ENSGACG00000019746,45,54,84,63
ENSGACG00000019748,325,223,313,337
ENSGACG00000019755,358,279,675,711
ENSGACG00000019759,7,18,30,31
ENSGACG00000019762,214,186,382,535
ENSGACG00000019765,1008,620,1298,1487
ENSGACG00000019766,884,1041,1582,1910
ENSGACG00000019767,3389,3690,5619,5983
ENSGACG00000019772,5,5,6,21
ENSGACG00000019776,309,143,224,289
ENSGACG00000019777,229,196,229,324
ENSGACG00000019783,156,202,166,343
ENSGACG00000019785,131,75,155,256
ENSGACG00000019787,166,264,85,157
ENSGACG00000019789,163,167,67,96
ENSGACG00000019791,8,11,10,16
ENSGACG00000019792,0,0,0,1
ENSGACG00000019793,5623,4753,10697,10877
ENSGACG00000019795,64,32,45,101
ENSGACG00000021275,0,0,0,0
ENSGACG00000019796,225,288,360,404
ENSGACG00000019797,1916,1256,2351,3494
ENSGACG00000019800,95,125,254,274
ENSGACG00000019801,1084,1189,3496,3025
ENSGACG00000019804,3901,4102,7898,7792
ENSGACG00000019805,1828,1846,3373,2999
ENSGACG00000019806,14542,15896,23798,46091
ENSGACG00000019814,724,878,435,1304
ENSGACG00000019816,2,0,0,0
ENSGACG00000019817,12,17,37,41
ENSGACG00000019820,634,308,374,488
ENSGACG00000019823,852,161,305,448
ENSGACG00000019825,307,278,482,521
ENSGACG00000019827,176,132,236,329
ENSGACG00000019829,0,0,0,0
ENSGACG00000019830,0,0,0,2
ENSGACG00000019831,0,0,0,0
ENSGACG00000019832,0,0,0,0
ENSGACG00000019833,0,0,0,0
ENSGACG00000019835,0,101,7,2
ENSGACG00000019836,0,0,0,0
ENSGACG00000019837,0,0,0,0
ENSGACG00000019838,739,847,1481,1147
ENSGACG00000019839,1099,1139,1835,2332
ENSGACG00000019843,384,366,487,721
ENSGACG00000019845,631,496,998,1082
ENSGACG00000019849,10,2,14,7
ENSGACG00000019851,193,160,291,585
ENSGACG00000019853,418,286,538,733
ENSGACG00000019855,820,836,1482,1730
ENSGACG00000019857,2373,1854,3567,4030
ENSGACG00000019858,303,168,338,266
ENSGACG00000019859,1321,709,1466,1614
ENSGACG00000019860,285,197,293,380
ENSGACG00000019862,21,16,31,117
ENSGACG00000019863,294,260,547,535
ENSGACG00000019864,83,69,112,102
ENSGACG00000019865,329,366,1013,793
ENSGACG00000019866,343,289,443,488
ENSGACG00000019869,625,493,904,1015
ENSGACG00000019879,15,10,6,37
ENSGACG00000019889,0,3,2,2
ENSGACG00000019891,411,533,1173,832
ENSGACG00000019892,4486,4032,9495,10170
ENSGACG00000019897,34,11,45,69
ENSGACG00000019901,2,4,2,6
ENSGACG00000019903,603,549,1151,1070
ENSGACG00000019904,2,0,0,3
ENSGACG00000019905,0,0,4,0
ENSGACG00000019907,505,517,811,660
ENSGACG00000019909,460,330,712,689
ENSGACG00000019912,2591,341,617,930
ENSGACG00000019914,169,237,522,350
ENSGACG00000019929,1041,1123,2753,2355
ENSGACG00000019934,77,58,97,138
ENSGACG00000019936,8,4,17,17
ENSGACG00000019938,1150,1173,2323,2204
ENSGACG00000019945,6808,7473,12352,22572
ENSGACG00000019948,10,8,6,11
ENSGACG00000019949,7210,6601,15244,12484
ENSGACG00000019955,170,80,63,126
ENSGACG00000019956,67,57,156,110
ENSGACG00000019957,69,146,113,50
ENSGACG00000019962,3316,3347,5664,4922
ENSGACG00000019967,132,103,194,204
ENSGACG00000019970,75,32,95,56
ENSGACG00000019973,18,10,116,42
ENSGACG00000019975,761,716,1120,1166
ENSGACG00000019977,2170,1877,3726,4247
ENSGACG00000019979,1577,1458,2183,2565
ENSGACG00000019981,8,4,12,26
ENSGACG00000019984,2104,1488,2839,3578
ENSGACG00000019986,1,2,7,0
ENSGACG00000019987,775,613,1136,1204
ENSGACG00000019988,432,287,660,634
ENSGACG00000019990,18446,17595,26301,25504
ENSGACG00000019992,2847,1533,2949,3749
ENSGACG00000019993,952,815,1367,1797
ENSGACG00000019995,86,71,198,167
ENSGACG00000019999,749,379,754,814
ENSGACG00000020007,128,76,77,130
ENSGACG00000020008,2,0,0,2
ENSGACG00000020009,69253,66936,121154,116831
ENSGACG00000020012,1091,1120,2012,2124
ENSGACG00000020015,748,823,1088,1269
ENSGACG00000020017,176,182,188,328
ENSGACG00000020019,7288,7412,13306,12544
ENSGACG00000020026,2367,1521,1396,1843
ENSGACG00000020031,0,2,2,3
ENSGACG00000020034,40,39,64,83
ENSGACG00000020036,1332,1251,1653,1720
ENSGACG00000020037,319,320,604,512
ENSGACG00000020040,231,203,285,361
ENSGACG00000020041,1256,1179,2025,2035
ENSGACG00000020042,12,0,0,0
